2,1,4,2,2,0
188,1,4,2,3,0
239,1,4,2,2,1
282,1,4,2,2,1
293,1,4,2,2,1
320,1,4,2,2,0
331,1,4,2,2,1
346,1,4,2,2,1
431,1,4,2,3,0
434,1,4,2,2,0
437,1,4,2,2,1
445,1,3,2,2,0
458,1,4,2,2,1
460,1,4,2,2,1
492,1,3,2,2,1
523,1,4,2,3,0
556,1,4,2,2,1
564,1,3,2,2,1
565,1,4,2,2,0
597,1,4,2,2,0
599,1,4,2,2,0
609,1,4,2,2,0
620,1,4,2,2,1
621,1,3,2,2,0
629,1,4,2,3,0
631,1,4,2,2,0
680,1,4,2,2,0
688,1,4,2,2,1
716,1,4,2,2,2
717,1,4,2,2,1
721,1,3,2,2,0
737,1,3,2,2,1
750,1,3,2,2,0
754,1,3,2,2,1
757,1,4,2,2,0
769,1,4,2,2,0
